JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
"Economics, Management and Sustainability","Scientific Publishing House ""SciView"" ",Poland,No,Yes,DOI,2016,English,Double blind peer review,Yes,4,CC BY,True,No
Social Work and Education,Centre of Social Development and Innovation and Ternopil Volodymyr Hnatiuk National Pedagogical University,Ukraine,No,NA,,2014,"English, Ukrainian",Double blind peer review,Yes,10,CC BY,True,No
Research In: Agricultural & Veterinary Sciences,Jomard Publishing,Azerbaijan,Yes,NA,,2017,"English, Russian",Peer review,Yes,8,CC BY,True,No
"Naukovij Vìsnik Nacìonalʹnoï Akademìï Statistiki, Oblìku ta Auditu","National Academy of Statistics, Accounting and Audit",Ukraine,Yes,NA,,2017,Ukrainian,Double blind peer review,NA,9,CC BY-SA,False,No
Journal CleanWAS,Zibeline International,Malaysia,No,NA,DOI,2017,English,Peer review,NA,10,CC BY,True,No
Serendipities. Journal for the Sociology and History of the Social Sciences,Karl Franzens-Universität Graz,Austria,No,NA,,2016,English,Peer review,NA,24,CC BY-NC,True,No
Mechanics and Advanced Technologies,Igor Sikorsky Kyiv Polytechnic Institute,Ukraine,No,NA,DOI,2017,"English, Russian, Ukrainian",Double blind peer review,Yes,6,CC BY,True,No
Quantum - the open journal for quantum science,Verein zur Förderung des Open Access Publizierens in den Quantenwissenschaften,Austria,Yes,Yes,DOI,2017,English,Peer review,NA,16,CC BY,True,No
TMR Integrative Medicine,TMR publishing group,China,No,NA,DOI,2017,"Chinese, English",Double blind peer review,NA,4,CC BY,False,No
Modern Economics,Mykolayiv National Agrarian University,Ukraine,Yes,NA,,2017,"English, Ukrainian",Double blind peer review,Yes,2,CC BY,True,No
Journal of Economics and Financial Analysis,Tripal Publishing House,Turkmenistan,No,NA,DOI,2017,English,Double blind peer review,Yes,10,CC BY-NC-ND,False,No
Iraqi Journal of Public Health,Nab'a Al-Hayat Foundation for Medical Sciences and Health Care - Press,Iraq,Yes,NA,,2017,English,Peer review,NA,12,CC BY-NC,False,No
Komunalʹne Gospodarstvo Mìst,O.M. Beketov National University of Urban Economy in Kharkiv,Ukraine,Yes,NA,,2000,"English, Ukrainian",Double blind peer review,Yes,4,CC BY-NC-ND,True,No
Vìsnik Unìversitetu ìmenì Alʹfreda Nobelâ: Serìâ Pedagogìka ì Psihologiâ,Alfred Nobel University Publisher,Ukraine,Yes,Yes,,2017,"English, Russian, Spanish; Castilian, Ukrainian",Blind peer review,NA,4,CC BY,True,No
TMR Integrative Nursing,TMR publishing group,China,No,NA,DOI,2017,English,Double blind peer review,NA,12,CC BY-NC,False,No
The Southern African Journal of Entrepreneurship and Small Business Management,AOSIS,South Africa,Yes,Yes,DOI,2008,English,Double blind peer review,Yes,31,CC BY,True,No
交大法學評論,"School of Law, National Chiao Tung University, Taiwan","Taiwan, Province of China",No,NA,DOI,2004,Chinese,Double blind peer review,NA,24,CC BY-NC-ND,True,No
"Mìkrosistemi, Elektronìka ta Akustika",Igor Sikorsky KPI,Ukraine,Yes,NA,DOI,2015,"English, Russian, Ukrainian",Double blind peer review,Yes,7,CC BY,True,No
Vìsnik Unìversitetu ìm. A. Nobelâ: Serìâ Fìlologìčnì Nauki,Alfred Nobel University Publisher,Ukraine,Yes,Yes,,2017,"English, French, Russian, Spanish; Castilian, Ukrainian",Blind peer review,NA,4,CC BY,True,No
Argumentos,"Centro de Perfeccionamiento ""Ricardo C. Nuñez"" del Poder Judicial de la Provincia de Córdoba",Argentina,No,NA,,2015,Spanish; Castilian,Blind peer review,Yes,20,CC BY-NC,True,No
Epistemología e Historia de la Ciencia,Universidad Nacional de Córdoba,Argentina,No,NA,,2016,"Portuguese, Spanish; Castilian",Double blind peer review,NA,16,CC BY-NC-ND,True,No
Diálogo com a Economia Criativa,ESPM Rio,Brazil,No,NA,,2016,Portuguese,Double blind peer review,NA,12,CC BY,True,No
"Research, Society and Development",Grupo de Pesquisa Metodologias em Ensino e Aprendizagem em Ciências,Brazil,No,Yes,,2016,"English, Portuguese",Double blind peer review,NA,8,CC BY,True,No
Informação em Pauta,Departamento de Ciência da Informação,Brazil,No,NA,,2016,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,12,CC BY,True,No
International Journal of Professional Business Review,Tutor Treinamento e Desenvolvimento,Brazil,No,NA,,2016,"English, Portuguese, Spanish; Castilian",Double blind peer review,Yes,3,CC BY-NC,True,No
Revista Brasileira de Pesquisa (Auto)Biográfica,Associação Brasileira de Pesquisa (Auto)Biográfica (BIOgraph),Brazil,No,NA,,2016,"English, French, Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,24,CC BY-NC,False,No
Revista Mundi Saúde e Biológicas,Instituto Federal do Paraná,Brazil,No,NA,DOI,2016,Portuguese,Double blind peer review,NA,11,CC BY,False,No
Revista Mundi Sociais e Humanidades,Instituto Federal do Paraná,Brazil,No,NA,DOI,2016,Portuguese,Double blind peer review,NA,18,CC BY,True,No
Revista Brasileira de Educação do Campo,Universidade Federal do Tocantins,Brazil,No,NA,,2016,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,5,CC BY,False,No
Revista Brasileira de Direito Processual Penal,Instituto Brasileiro de Direito Processual Penal,Brazil,No,NA,,2015,"Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,20,CC BY-NC,False,No
Diversitas Journal,Universidade Estadual de Alagoas,Brazil,No,NA,DOI,2016,"English, Portuguese",Peer review,NA,4,CC BY,True,No
Revista Paradoxos,Universidade Federal de Uberlândia,Brazil,No,NA,,2016,Portuguese,Blind peer review,NA,24,CC BY,True,No
Revista Brasileira de Políticas Públicas e Internacionais,Universidade Federal da Paraíba ,Brazil,No,NA,,2016,Portuguese,Blind peer review,NA,12,CC BY,True,No
Clio: Revista de Pesquisa Histórica,Universidade Federal de Pernambuco,Brazil,No,NA,,1977,Portuguese,Double blind peer review,NA,12,CC BY,True,No
Cadernos de Gênero e Diversidade,Universidade Federal da Bahia,Brazil,No,NA,,2015,Portuguese,Peer review,NA,24,CC BY-NC,False,No
Revista Latino Americana de Estudos em Cultura e Sociedade,Centro Latino-Americano de Estudos em Cultura,Brazil,No,NA,,2015,"Portuguese, Spanish; Castilian",Blind peer review,NA,12,CC BY-NC,True,No
Revista de Ciências do Estado,Universidade Federal de Minas Gerais,Brazil,No,NA,,2016,Portuguese,Double blind peer review,NA,30,Publisher's own license,True,No
Journal of Environmental Analysis and Progress,Universidade Federal Rural de Pernambuco,Brazil,No,NA,DOI,2016,"English, Portuguese",Peer review,NA,8,CC BY-NC-SA,False,No
Marketing & Tourism Review,Universidade Federal de Minas Gerais,Brazil,No,NA,,2016,"English, Portuguese",Double blind peer review,NA,16,CC BY,True,No
Revista Brasileira de Direito do Consumidor,Revista Brasileira de Direito do Consumidor,Brazil,No,NA,,2016,Portuguese,Double blind peer review,NA,12,Publisher's own license,False,No
Scientia et Ratio,Scientia et Ratio,Brazil,No,NA,,2016,Portuguese,Double blind peer review,Yes,12,Publisher's own license,False,No
Brazilian Journal of Development,Brazilian Journal of Development,Brazil,No,NA,,2015,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,12,CC BY,False,No
ACTIO: Docência em Ciências,Universidade Tecnológica Federal do Paraná,Brazil,No,NA,DOI,2016,Portuguese,Double blind peer review,Yes,12,CC BY,True,No
Revista Valore ,Faculdade Sul Fluminense,Brazil,No,NA,DOI,2016,Portuguese,Double blind peer review,NA,8,CC BY,True,No
Teorias do Direito e Realismo Jurídico,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,DOI,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Direito Ambiental e Socioambientalismo,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Pesquisa e Educação Jurídica,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Teorias da Justiça, da Decisão e da Argumentação Jurídica",Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Teorias e Filosofias do Estado,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Teorias da Democracia e Direitos Políticos,Conselho Nacional de Pesquisa e Pós-graduação em Direito,Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Formas Consensuais de Solução de Conflitos,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Direito e Sustentabilidade,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Biodireito e Direito dos Animais,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Processo, Jurisdição e Efetividade da Justiça",Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,DOI,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Política Judiciária, Gestão e Administração da Justiça",Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
 Revista de Movimentos Sociais e Conflitos ,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista do Direito do Trabalho e Meio Ambiente do Trabalho,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,DOI,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Direitos Sociais, Seguridade e Previdência Social",Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,DOI,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Direito Sociais e Políticas Públicas,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Direito Urbanístico, Cidade e Alteridade",Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,DOI,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Direitos Fundamentais nas Relações do Trabalho, Sociais e Empresariais",Conselho Nacional de Pesquisa e Pós-graduação em Direito,Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Direito, Arte e Literatura",Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Direito, Inovação, Propriedade Intelectual e Concorrência",Conselho Nacional de Pesquisa e Pós-graduação em Direito,Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Direitos Humanos e Efetividade,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Direito, Globalização e Responsabilidade nas Relações de Consumo",Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Direito, Governança e Novas Tecnologias",Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Criminologias e Politicas Criminais,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Direito Administrativo e Gestão Pública,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,DOI,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Direito Agrário e Agroambiental,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,DOI,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista Brasileira de Direitos e Garantias Fundamentais,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,DOI,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista Brasileira de Filosofia do Direito,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Direito Tributário e Financeiro,Conselho Nacional de Pesquisa e Pós-graduação em Direito,Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Direito Penal, Processo Penal e Constituição",Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,DOI,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista de Direito de Família e Sucessão,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista Brasileira de Direito Empresarial,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
"Revista de Sociologia, Antropologia e Cultura Jurídica",Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Revista Cidadania e Acesso à Justiça,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),Brazil,No,NA,,2015,Portuguese,Double blind peer review,NA,16,CC BY-NC,True,No
Journal Health NPEPS,Universidade do Estado de Mato Grosso,Brazil,No,NA,,2016,Portuguese,Double blind peer review,Yes,12,CC BY,True,No
Revista Trabalho EnCena,Universidade Federal do Tocantins,Brazil,No,NA,,2016,Portuguese,Blind peer review,NA,32,CC BY-NC,False,No
Tecnia,"Instituto Federal de Educação, Ciência e Tecnologia de Goiás",Brazil,No,NA,,2016,Portuguese,Double blind peer review,NA,16,CC BY,True,No
Revista Prática Docente,Instituto Federal de Mato Grosso,Brazil,No,NA,DOI,2016,"English, Portuguese, Spanish; Castilian",Double blind peer review,Yes,6,CC BY-NC,True,No
Transversal: International Journal for the Historiography of Science,Universidade Federal de Minas Gerais,Brazil,No,NA,,2016,English,Double blind peer review,NA,14,CC BY,True,No
Revisbrato ,Universidade Federal do Rio de Janeiro (UFRJ),Brazil,No,NA,,2017,Portuguese,Blind peer review,NA,16,CC BY,False,No
Delictae: Revista de Estudos Interdisciplinares sobre o Delito,Pontifícia Universidade Católica de Minas Gerais,Brazil,No,Yes,DOI,2016,"English, Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,20,CC BY-NC-ND,False,No
Pixo,Universidade Federal de Pelotas (UFPel),Brazil,No,Yes,DOI,2017,Portuguese,Peer review,Yes,5,CC BY-NC-ND,False,No
Aturá,Universidade Federal do Tocantins,Brazil,No,NA,,2017,Portuguese,Double blind peer review,NA,8,CC BY-NC,True,No
Cadernos Brasileiros de Terapia Ocupacional,Universidade Federal de São Carlos,Brazil,Yes,NA,DOI,2009,Portuguese,Double blind peer review,Yes,32,CC BY-NC,False,No
Revista Jurídica da Ufersa,Universidade Federal Rural do Semi-árido,Brazil,No,NA,,2017,Portuguese,Double blind peer review,NA,5,CC BY,False,No
LALCA,Instituto Brasileiro de Informação em Ciência e Tecnologia (IBICT),Brazil,No,NA,DOI,2017,Portuguese,Double blind peer review,Yes,24,CC BY,True,No
Ensaios Pedagógicos,Universidade Federal de São Carlos,Brazil,No,NA,,2017,Portuguese,Double blind peer review,NA,4,CC BY-NC,True,No
Tadulako Law Review,Tadulako University,Indonesia,No,NA,,2016,"English, Indonesian",Peer review,Yes,2,CC BY,False,No
Wawasan,Universitas Islam Negeri Sunan Gunung Djati Bandung,Indonesia,No,NA,,2016,Indonesian,Peer review,NA,7,CC BY-SA,False,No
AcTion: Aceh Nutrition Journal,Jurusan Gizi Politeknik Kesehatan Kemenkes Aceh,Indonesia,No,NA,,2016,Indonesian,Blind peer review,Yes,8,CC BY-SA,False,No
Ikonomika: Jurnal Ekonomi dan Bisnis Islam,Institut Agama Islam Negeri Raden Intan Lampung,Indonesia,No,NA,,2016,"English, Indonesian",Peer review,Yes,16,CC BY-SA,False,No
Jurnal Pendidikan Islam Indonesia,Program Pascasarjana IAI Ibrahimy Situbondo Jawa Timur,Indonesia,No,NA,,2016,Indonesian,Peer review,NA,3,CC BY-NC,True,No
Sainteknol,Universitas Negeri Semarang,Indonesia,No,NA,,2010,Indonesian,Peer review,NA,24,CC BY,False,No
JHE: Journal of Health Education,Universitas Negeri Semarang,Indonesia,No,NA,,2016,Indonesian,Peer review,NA,24,CC BY,False,No
MCBS (Molecular and Cellular Biomedical Sciences),Cell and BioPharmaceutical Institute,Indonesia,No,NA,DOI,2017,English,Double blind peer review,Yes,20,CC BY-NC,False,No
Jurnal Iqra': Kajian Ilmu Pendidikan,IAI Ma'arif NUMetro Lampung,Indonesia,No,NA,DOI,2016,"English, Indonesian",Peer review,Yes,24,CC BY-SA,True,No
Sriwijaya Journal of Environment,Graduate Program Sriwijaya University,Indonesia,No,NA,DOI,2016,English,Peer review,Yes,3,CC BY-NC-SA,False,No
Francisola: Revue Indonésienne de la Langue et la Littérature Françaises,Universitas Pendidikan Indonesia,Indonesia,No,NA,DOI,2016,"English, French",Double blind peer review,Yes,12,CC BY-SA,False,No
Kalamatika,Universitas Muhammadiyah,Indonesia,No,NA,,2016,Indonesian,Double blind peer review,NA,23,CC BY-SA,False,No
Al-Balagh: Jurnal Dakwah dan Komunikasi,IAIN Surakarta,Indonesia,No,NA,DOI,2016,Indonesian,Double blind peer review,NA,24,CC BY-NC,False,No
Jurnal Masharif al-Syariah: Jurnal Ekonomi dan Perbankan Syariah,UMSurabaya Publishing,Indonesia,No,NA,,2016,Indonesian,Blind peer review,NA,24,CC BY-NC,False,No
Jurnal Perbenihan Tanaman Hutan,Balai Penelitian dan Pengembangan Teknologi Perbenihan Tanaman Hutan,Indonesia,No,NA,,2013,Indonesian,Double blind peer review,NA,16,CC BY-NC-SA,False,No
Lingual,Universitas Udayana,Indonesia,No,NA,,2013,English,Peer review,NA,24,CC BY,False,No
JP (Jurnal Pendidikan),Universitas Negeri Surabaya,Indonesia,No,NA,,2016,Indonesian,Blind peer review,NA,24,CC BY-SA,False,No
Journal of English language Studies,Universitas Sultan Ageng Tirtayasa,Indonesia,No,NA,,2016,English,Double blind peer review,NA,24,CC BY,False,No
Studia Quranika: Jurnal Studi Quran,Universitas Darussalam Gontor,Indonesia,No,NA,DOI,2016,"Arabic, English, Indonesian",Double blind peer review,Yes,16,CC BY-NC-SA,False,No
Pattimura Law Journal,Pattimura University,Indonesia,No,NA,,2016,English,Peer review,Yes,3,CC BY,False,No
Jurnal Penelitian Pendidikan IPA,Universitas Negeri Surabaya,Indonesia,No,NA,,2015,Indonesian,Peer review,NA,24,CC BY,False,No
Indonesian Journal of Science and Technology,Universitas Pendidikan Indonesia Press,Indonesia,No,NA,DOI,2016,English,Blind peer review,Yes,16,CC BY-SA,True,No
Leksema,IAIN Surakarta,Indonesia,No,NA,DOI,2016,"English, Indonesian",Double blind peer review,Yes,12,CC BY-NC-SA,False,No
Indonesian Nursing Journal of Education and Clinic,Association of Indonesian Nurses Education Center (AINEC),Indonesia,No,NA,,2016,"English, Indonesian",Blind peer review,NA,24,CC BY,False,No
Jurnal Agrosains dan Teknologi,Universitas Muhammadiyah Jakarta,Indonesia,No,NA,,2016,Indonesian,Double blind peer review,NA,15,CC BY-NC,True,No
Journal An-Nafs: Kajian Penelitian Psikologi,Prodi Psikologi Islam Institut Agama Islam Tribakti Kediri,Indonesia,No,NA,,2016,Indonesian,Double blind peer review,Yes,8,CC BY,False,No
Jurnal Ilmiah Pendidikan Pancasila dan Kewarganegaraan,Universitas Negeri Malang,Indonesia,No,NA,,2014,Indonesian,Blind peer review,NA,24,CC BY,False,No
Indonesian Journal of Islamic Literature and Muslim Society,Institut Agama Islam Negeri (IAIN) Surakarta,Indonesia,No,NA,DOI,2016,"Arabic, English, Indonesian",Double blind peer review,Yes,5,CC BY-NC-SA,True,No
JOIN: Jurnal Online Informatika,Universitas Islam Negeri (UIN) Sunan Gunung Djati Bandung,Indonesia,No,NA,,2016,Indonesian,Blind peer review,Yes,24,CC BY-NC-ND,False,No
Vanos: Journal of Mechanical Engineering Education,Universitas Sultan Ageng Tirtayasa,Indonesia,No,NA,,2016,Indonesian,Peer review,NA,24,CC BY,False,No
Jurnal Biota,Universitas Islam Negeri Raden Fatah Palembang,Indonesia,No,NA,DOI,2015,Indonesian,Peer review,NA,24,CC BY-SA,False,No
Journal of Governance: Jurnal Ilmu Pemerintahan Universitas Sultan Ageng Tirtayasa, Faculty of Social and Political Science Universitas Sultan Ageng Tirtayasa,Indonesia,No,NA,,2017,Indonesian,Double blind peer review,NA,8,CC BY,False,No
Aksiologiya: Jurnal Pengabdian Kepada Masyarakat,UMSurabaya Publishing,Indonesia,No,NA,,2017,Indonesian,Blind peer review,NA,24,CC BY-NC,False,No
International Journal of Active Learning,Universitas Negeri Semarang,Indonesia,No,NA,,2016,English,Peer review,Yes,24,CC BY,False,No
Jurnal Aplikasi Bisnis dan Manajemen,Bogor Agricultural University,Indonesia,Yes,NA,,2015,Indonesian,Blind peer review,Yes,6,CC BY,False,No
Volt: Jurnal Ilmiah Pendidikan Teknik Elektro,Universitas Sultan Agneg Tirtayasa,Indonesia,No,NA,,2016,Indonesian,Peer review,Yes,24,CC BY,False,No
Physics Communication,Universitas Negeri Semarang,Indonesia,No,NA,,2017,Indonesian,Peer review,NA,24,CC BY,False,No
Public Health Perspective Journal,Universitas Negeri Semarang,Indonesia,No,NA,,2017,Indonesian,Double blind peer review,NA,24,CC BY,False,No
Religious: Jurnal Studi Agama-Agama dan Lintas Budaya,Universitas Islam Negeri (UIN) Sunan Gunung Djati Bandung,Indonesia,No,NA,,2016,Indonesian,Double blind peer review,Yes,48,CC BY-SA,True,No
JABE (Journal of Accounting and Business Education)," Faculty of Economics, Universitas Negeri Malang",Indonesia,Yes,NA,,2016,English,Double blind peer review,NA,16,CC BY-SA,True,No
Mikarimin,Universidad Regional Autónoma de Los Andes-Extensión Santo Domingo,Ecuador,No,NA,,2015,Spanish; Castilian,Double blind peer review,NA,8,CC BY,True,No
Journal of Science and Research,Universidad Técnica de Babahoyo,Ecuador,No,NA,,2016,Spanish; Castilian,Double blind peer review,Yes,12,CC BY-NC-ND,True,No
Communication in Mathematical Modeling and Applications,BİSKA Bilisim Company,Turkey,No,NA,,2016,English,Blind peer review,Yes,12,CC BY,True,No
Turkish Journal of Plastic Surgery,Wolters Kluwer Medknow Publications,India,No,NA,,2018,"English, Turkish",Double blind peer review,NA,28,CC BY-NC-SA,False,No
Harran Üniversitesi Mühendislik Dergisi,Harran University ,Turkey,No,NA,,2016,"English, Turkish",Double blind peer review,Yes,5,CC BY,True,No
Cumhuriyet İlahiyat Dergisi,Cumhuriyet University,Turkey,No,NA,DOI,2016,Turkish,Double blind peer review,Yes,24,CC BY-NC-ND,False,No
Hacettepe Üniversitesi Sağlık Bilimleri Fakültesi Dergisi,Hacettepe University,Turkey,No,NA,DOI,2014,"English, Turkish",Double blind peer review,Yes,6,CC BY,True,No
Uluslararası Politik Araştırmalar Dergisi,Politik Ekonomik ve Sosyal Araştırmalar Merkezi Derneği,Turkey,No,NA,,2015,"English, Turkish",Blind peer review,Yes,16,CC BY-NC,False,No
"Journal of Tourism, Heritage & Services Marketing",Alexander Technological Institute of Thessaloniki,Greece,No,NA,DOI,2015,English,Double blind peer review,Yes,24,CC BY-NC-ND,True,No
Jounal of Negative and No Positive Results,Asociación Para el Progreso de la Biomedicina,Spain,No,NA,DOI,2016,"English, Spanish; Castilian",Double blind peer review,NA,2,CC BY-NC-ND,False,No
Revista Iberoamericana de Bioética,Universidad Pontificia Comillas,Spain,No,NA,DOI,2016,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,4,CC BY-NC-ND,True,No
Revista Interuniversitaria de Investigación en Tecnología Educativa,"Editum, Ediciones de la Universidad de Murcia",Spain,No,NA,DOI,2016,Spanish; Castilian,Double blind peer review,NA,10,CC BY-NC-SA,True,No
OBETS : Revista de Ciencias Sociales,"Instituto Interuniversitario de Desarrollo Social y Paz, Universidad de Alicante",Spain,No,NA,DOI,2008,"Catalan; Valencian, English, Italian, Portuguese, Spanish; Castilian",Double blind peer review,Yes,15,CC BY,True,No
Revista SOCAMPAR,Sociedad Castellano Manchega de Patología Respiratoria (SOCAMPAR),Spain,No,NA,,2016,Spanish; Castilian,Peer review,Yes,15,Publisher's own license,False,No
Journal of Bioinformatics and Genomics,Cifra Publishing House,Spain,No,NA,DOI,2016,English,Peer review,Yes,5,CC BY,False,No
Atlánticas,Universidade da Coruña,Spain,No,NA,DOI,2016,Spanish; Castilian,Double blind peer review,Yes,20,CC BY-SA,False,No
Revista Otarq: Otras arqueologías,JAS Arqueología S.L.U.,Spain,No,NA,,2016,Spanish; Castilian,Double blind peer review,NA,10,CC BY-NC-ND,True,No
IBJ Clinical Pharmacology,Iberoamerican Journals,Spain,Yes,NA,DOI,2017,"English, Portuguese, Spanish; Castilian",Peer review,Yes,2,CC BY-NC,True,No
Hospital a Domicilio,Centro Internacional Virtual de Investigación en Nutrición (CIVIN),Spain,No,NA,DOI,2017,"English, Spanish; Castilian",Double blind peer review,NA,4,CC BY-NC-SA,True,No
Advances in Building Education,Universidad Politécnica de Madrid ,Spain,No,NA,,2017,"English, Spanish; Castilian",Double blind peer review,NA,16,CC BY-NC-ND,True,No
Building & Management,Universidad Politécnica de Madrid ,Spain,No,NA,,2017,Spanish; Castilian,Double blind peer review,Yes,8,CC BY-NC-ND,True,No
Modulema,Universidad de Granada,Spain,No,Yes,,2017,Spanish; Castilian,Double blind peer review,Yes,4,CC BY,True,No
Pulmonology,Elsevier España S.L.U.,Spain,No,Yes,DOI,2018,English,Double blind peer review,Yes,8,CC BY-NC-ND,False,No
"Hematology, Transfusion and Cell Therapy",Elsevier,Spain,No,Yes,DOI,2018,English,Double blind peer review,Yes,30,CC BY-NC-ND,False,No
Culture e Studi del Sociale,University of Salerno,Italy,No,NA,,2016,Italian,Double blind peer review,NA,15,CC BY-NC-ND,True,No
Italian Botanist,Pensoft Publishers,Bulgaria,Yes,Yes,DOI,2016,English,Peer review,NA,12,CC BY,True,Yes
DigitCult@Scientific Journal on Digital Cultures,Aracne editrice,Italy,No,NA,DOI,2016,"English, Italian",Double blind peer review,Yes,10,CC BY,False,No
University of Bologna Law Review,University of Bologna,Italy,No,NA,DOI,2016,English,Double blind peer review,NA,22,CC BY,True,No
La camera blu,FeDOAPress - Federico II Open Access University  Press,Italy,No,NA,DOI,2010,"Dutch; Flemish, English, French, Georgian, Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,16,CC BY,True,No
Groma,BraDypUS,Italy,No,NA,DOI,2016,English,Peer review,NA,8,CC BY-NC-ND,True,No
